id,game,code,name,aka,faction,domain,kind,tech,role,description,hp,cost_metal,cost_energy,build_time,speed,weapons,image
ta-armfus,ta,ARMFUS,Fusion Reactor,,arm,structure,Resource & storage buildings,2,t2_energy,Produces Energy,3100,5130.0,36058.0,,,,img/ta/armfus.png
ta-armgeo,ta,ARMGEO,Geothermal Powerplant,,arm,structure,Resource & storage buildings,2,t2_energy,Produces Energy,880,520.0,9568.0,,,,img/ta/armgeo.png
ta-armmakr,ta,ARMMAKR,Metal Maker,,arm,structure,Resource & storage buildings,1,t1_fab,Converts Energy into Metal,144,0.0,687.0,,,,img/ta/armmakr.png
ta-armmex,ta,ARMMEX,Metal Extractor,,arm,structure,Resource & storage buildings,1,t1_mex,Extracts Metal,170,50.0,521.0,,,,img/ta/armmex.png
ta-armmmkr,ta,ARMMMKR,Moho Metal Maker,,arm,structure,Resource & storage buildings,2,t2_fab,Converts Energy into Metal,400,58.0,9350.0,,,,img/ta/armmmkr.png
ta-armmoho,ta,ARMMOHO,Moho Mine,,arm,structure,Resource & storage buildings,2,t2_mex,Advanced Metal Extractor,1573,1508.0,8700.0,,,,img/ta/armmoho.png
ta-armmstor,ta,ARMMSTOR,Metal Storage,,arm,structure,Resource & storage buildings,1,t1_mex,Increases Metal Storage,1329,305.0,535.0,,,,img/ta/armmstor.png
ta-armsolar,ta,ARMSOLAR,Solar Collector,,arm,structure,Resource & storage buildings,1,t1_energy,Produces Energy,326,145.0,760.0,,,,img/ta/armsolar.png
ta-armtide,ta,ARMTIDE,Tidal Generator,,arm,structure,Resource & storage buildings,1,t1_energy,Produces Energy,256,82.0,768.0,,,,img/ta/armtide.png
ta-armuwes,ta,ARMUWES,Underwater Energy Storage,,arm,structure,Resource & storage buildings,1,t1_energy,Increases Energy Storage,1447,284.0,2950.0,,,,img/ta/armuwes.png
ta-armuwfus,ta,ARMUWFUS,Underwater Fusion Plant,,arm,structure,Resource & storage buildings,2,t2_energy,Produces Energy,1231,7085.0,54287.0,,,,img/ta/armuwfus.png
ta-armuwmex,ta,ARMUWMEX,Underwater Metal Extractor,,arm,structure,Resource & storage buildings,1,t1_mex,Extracts Metal,330,130.0,2074.0,,,,img/ta/armuwmex.png
ta-armuwms,ta,ARMUWMS,Underwater Metal Storage,,arm,structure,Resource & storage buildings,1,t1_mex,Increases Metal Storage,1625,360.0,1255.0,,,,img/ta/armuwms.png
ta-armwin,ta,ARMWIN,Wind Generator,,arm,structure,Resource & storage buildings,1,t1_energy,Produces Energy,176,52.0,509.0,,,,img/ta/armwin.png
ta-armamb,ta,ARMAMB,Ambusher,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t2_arty,Pop-up Heavy Cannon,1658,2002.0,16821.0,,,ARMAMB_GUN,img/ta/armamb.png
ta-armamd,ta,ARMAMD,Protector,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,antinuke,Anti Missile Defense System,780,1437.0,88000.0,,,AMD_ROCKET,img/ta/armamd.png
ta-armanni,ta,ARMANNI,Annihilator,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",3,t3_arty_static,Energy weapon,1410,3985.0,25025.0,,,ARM_TOTAL_ANNIHILATOR,img/ta/armanni.png
ta-armatl,ta,ARMATL,Advanced Torpedo Launcher,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,other,Advanced Torpedo Launcher,520,1762.0,4942.0,,,ARMATL_TORPEDO,img/ta/armatl.png
ta-armbrtha,ta,ARMBRTHA,Big Bertha,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",3,t3_arty_static,Long Range Plasma Cannon,1800,4184.0,64680.0,,,ARM_BERTHACANNON,img/ta/armbrtha.png
ta-armfdrag,ta,ARMFDRAG,Floating Dragon's Teeth,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",1,wall,Floating Dragon's Teeth,3500,20.0,600.0,,,,img/ta/armfdrag.png
ta-armfhlt,ta,ARMFHLT,Stingray,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t2_pd,Floating Heavy Laser Tower,1325,524.0,5796.0,,,ARMFHLT_LASER,img/ta/armfhlt.png
ta-armflak,ta,ARMFLAK,Flakker,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t2_flak,Anti-Air Flak Gun,1524,1069.0,17425.0,,,ARMFLAK_GUN,img/ta/armflak.png
ta-armguard,ta,ARMGUARD,Guardian,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t2_arty,Plasma Battery,2477,1946.0,7687.0,,,ARMFIXED_GUN,img/ta/armguard.png
ta-armhlt,ta,ARMHLT,Sentinel,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t2_pd,Heavy Laser Tower,1230,584.0,5398.0,,,ARM_LASERH1,img/ta/armhlt.png
ta-armllt,ta,ARMLLT,L.L.T.,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",1,t1_pd,Light Laser Tower,750,262.0,2546.0,,,ARM_LIGHTLASER,img/ta/armllt.png
ta-armmanni,ta,ARMMANNI,Penetrator,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,other,Mobile Energy Weapon,650,2604.0,17477.0,,,ARMMANNI_WEAPON,img/ta/armmanni.png
ta-armmart,ta,ARMMART,Luger,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t3_arty,Mobile Artillery,525,264.0,2140.0,,,ARM_ARTILLERY,img/ta/armmart.png
ta-armmerl,ta,ARMMERL,Merl,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",2,t2_mml,Mobile Rocket Launcher,540,462.0,2746.0,,,ARMTRUCK_ROCKET,img/ta/armmerl.png
ta-armrl,ta,ARMRL,Defender,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",1,t1_aa_turret,Missile Tower,295,79.0,843.0,,,ARMRL_MISSILE,img/ta/armrl.png
ta-armsilo,ta,ARMSILO,Retaliator,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",1,nuke,Nuclear Missile Launcher,2300,1010.0,52134.0,,,NUCLEAR_MISSILE,img/ta/armsilo.png
ta-armtl,ta,ARMTL,Torpedo Launcher,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",1,other,Torpedo Launcher,1450,804.0,2658.0,,,COAX_TORPEDO,img/ta/armtl.png
ta-armvulc,ta,ARMVULC,Vulcan,,arm,structure,"Defensive structures (turrets, anti-nuke, big-bertha)",3,experimental,Rapid Fire Plasma Cannon,1400,45198.0,479111.0,,,ARMVULC_WEAPON,img/ta/armvulc.png
ta-armarad,ta,ARMARAD,Advanced Radar Tower,,arm,structure,"Sensors & jammers (radar, sonar)",2,other,Long Range Radar Tower,120,125.0,1830.0,,,,img/ta/armarad.png
ta-armason,ta,ARMASON,Advanced Sonar Station,,arm,structure,"Sensors & jammers (radar, sonar)",2,other,Extended Sonar,320,163.0,2469.0,,,,img/ta/armason.png
ta-armjam,ta,ARMJAM,Jammer,,arm,structure,"Sensors & jammers (radar, sonar)",1,other,Mobile Radar Jammer,460,97.0,1621.0,,,,img/ta/armjam.png
ta-armrad,ta,ARMRAD,Radar Tower,,arm,structure,"Sensors & jammers (radar, sonar)",1,t1_radar,Radar Tower,51,49.0,750.0,,,,img/ta/armrad.png
ta-armsjam,ta,ARMSJAM,Escort,,arm,structure,"Sensors & jammers (radar, sonar)",1,other,Radar Jammer Ship,510,131.0,1928.0,,,,img/ta/armsjam.png
ta-armsonar,ta,ARMSONAR,Sonar Station,,arm,structure,"Sensors & jammers (radar, sonar)",1,t1_radar,Locates Water Units,50,20.0,403.0,,,,img/ta/armsonar.png
ta-armatlas,ta,ARMATLAS,Atlas,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,t1_transport,Air Transport,150,107.0,2479.0,,,,img/ta/armatlas.png
ta-armawac,ta,ARMAWAC,Eagle,,arm,air,"Aircraft (VTOL, bombers, fighters)",2,other,Radar Plane,110,165.0,8062.0,,,,img/ta/armawac.png
ta-armbrawl,ta,ARMBRAWL,Brawler,,arm,air,"Aircraft (VTOL, bombers, fighters)",2,t2_gunship,Gunship,920,314.0,6249.0,,,VTOL_EMG,img/ta/armbrawl.png
ta-armfig,ta,ARMFIG,Freedom Fighter,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,t1_interceptor,Fighter,196,99.0,3234.0,,,ARMVTOL_MISSILE,img/ta/armfig.png
ta-armhawk,ta,ARMHAWK,Hawk,,arm,air,"Aircraft (VTOL, bombers, fighters)",2,t2_fighter,Stealth Fighter,510,254.0,6893.0,,,ARMVTOL_ADVMISSILE | ARMVTOL_ADVMISSILE2,img/ta/armhawk.png
ta-armlance,ta,ARMLANCE,Lancet,,arm,air,"Aircraft (VTOL, bombers, fighters)",2,other,Torpedo Bomber,370,378.0,6438.0,,,ARMAIR_TORPEDO,img/ta/armlance.png
ta-armpeep,ta,ARMPEEP,Peeper,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,t1_air_scout,Air Scout,80,40.28,1475.0,,,,img/ta/armpeep.png
ta-armpnix,ta,ARMPNIX,Phoenix,,arm,air,"Aircraft (VTOL, bombers, fighters)",2,t2_bomber,Bomber,470,209.0,7624.0,,,ARMADVBOMB | ARMAIR2AIRLASER,img/ta/armpnix.png
ta-armseap,ta,ARMSEAP,Albatross,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,other,Torpedo Seaplane,216,557.0,9619.0,,,ARMSEAP_WEAPON1 | ARMSEAP_WEAPON2 | ARMSEAP_WEAPON3,img/ta/armseap.png
ta-armsehak,ta,ARMSEHAK,Seahawk,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,other,Airborne Sonar,470,139.0,7624.0,,,,img/ta/armsehak.png
ta-armsfig,ta,ARMSFIG,Tornado,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,other,Seaplane Fighter,150,187.0,6307.0,,,ARMSFIG_WEAPON | ARMSFIG_WEAPON2,img/ta/armsfig.png
ta-armthund,ta,ARMTHUND,Thunder,,arm,air,"Aircraft (VTOL, bombers, fighters)",1,t1_bomber,Bomber,320,130.0,5496.0,,,ARMBOMB,img/ta/armthund.png
ta-armaas,ta,ARMAAS,Archer,,arm,navy,Ships (surface),2,other,Anti-Air Ship,2360,1358.0,17058.0,,,ARMAAS_WEAPON1 | ARMAAS_WEAPON2 | ARMAAS_WEAPON3,img/ta/armaas.png
ta-armbats,ta,ARMBATS,Millenium,,arm,navy,Ships (surface),2,t3_battleship,Battleship,5720,4404.0,20731.0,,,ARM_BATS | ARM_BATS,img/ta/armbats.png
ta-armcarry,ta,ARMCARRY,Colossus,,arm,navy,Ships (surface),2,other,Light Carrier,3390,1372.0,11257.0,,,,img/ta/armcarry.png
ta-armcrus,ta,ARMCRUS,Conqueror,,arm,navy,Ships (surface),2,t2_cruiser,Cruiser,4050,1719.0,8608.0,,,ARM_CRUS | ARMDEPTHCHARGE,img/ta/armcrus.png
ta-armmship,ta,ARMMSHIP,Ranger,,arm,navy,Ships (surface),2,other,Missile Ship,1200,2348.0,7804.0,,,ARMMSHIP_ROCKET | ARMSHIP_MISSILE,img/ta/armmship.png
ta-armpt,ta,ARMPT,Skeeter,,arm,navy,Ships (surface),1,t1_frigate,Scout Ship,560,100.0,985.0,,,ARMPT_LASER | ARMKBOT_MISSILE,img/ta/armpt.png
ta-armroy,ta,ARMROY,Crusader,,arm,navy,Ships (surface),1,t2_destroyer,Destroyer,2870,898.0,4537.0,,,ARM_ROY | ARMDEPTHCHARGE,img/ta/armroy.png
ta-armss,ta,ARMSS,Sea Serpent,,arm,navy,Ships (surface),1,other,Indigenous Lifeform,420,0.0,4385.0,,,FLAMETHROWER,img/ta/armss.png
ta-armtship,ta,ARMTSHIP,Hulk,,arm,navy,Ships (surface),1,other,Transport Ship,2000,919.0,4639.0,,,,img/ta/armtship.png
ta-armscram,ta,ARMSCRAM,Fibber,,arm,navy,Submarines & underwater units,1,other,Sonar Jamming Sub,450,295.0,2897.0,,,,img/ta/armscram.png
ta-armsub,ta,ARMSUB,Lurker,,arm,navy,Submarines & underwater units,1,t1_sub,Submarine,610,1151.0,3724.0,,,ARM_TORPEDO,img/ta/armsub.png
ta-armsubk,ta,ARMSUBK,Piranha,,arm,navy,Submarines & underwater units,2,other,Submarine Killer,290,1448.0,5481.0,,,ARMSMART_TORPEDO,img/ta/armsubk.png
ta-armamph,ta,ARMAMPH,Pelican,,arm,land,Kbots (bipedal walkers),2,t2_amphib,Amphibious Kbot,800,255.0,2468.0,,,ARMAMPH_WEAPON1 | ARMAMPH_WEAPON2,img/ta/armamph.png
ta-armaser,ta,ARMASER,Eraser,,arm,land,Kbots (bipedal walkers),2,other,Radar Jammer,305,73.0,1326.0,,,,img/ta/armaser.png
ta-armfast,ta,ARMFAST,Zipper,,arm,land,Kbots (bipedal walkers),2,other,Fast Attack Kbot,550,151.0,2221.0,,,ARM_FAST,img/ta/armfast.png
ta-armfido,ta,ARMFIDO,Fido,,arm,land,Kbots (bipedal walkers),2,t2_tank,Assault Kbot,1000,398.0,3556.0,,,GAUSS,img/ta/armfido.png
ta-armflea,ta,ARMFLEA,Flea,,arm,land,Kbots (bipedal walkers),1,t1_land_scout,Fast Light Scout Kbot,75,44.0,712.0,,,ARMFLEA_WEAPON,img/ta/armflea.png
ta-armham,ta,ARMHAM,Hammer,,arm,land,Kbots (bipedal walkers),1,t1_arty,Artillery Kbot,800,151.0,1187.0,,,ARM_HAM,img/ta/armham.png
ta-armjeth,ta,ARMJETH,Jethro,,arm,land,Kbots (bipedal walkers),1,t1_aa,Anti-Air Kbot,470,128.0,1219.0,,,ARMKBOT_MISSILE,img/ta/armjeth.png
ta-armmark,ta,ARMMARK,Marky,,arm,land,Kbots (bipedal walkers),2,other,Mobile Radar Kbot,320,95.0,1152.0,,,,img/ta/armmark.png
ta-armmav,ta,ARMMAV,Maverick,,arm,land,Kbots (bipedal walkers),2,t3_assault,Gun-slinging Kbot,870,492.0,10914.0,,,ARMMAV_WEAPON,img/ta/armmav.png
ta-armpw,ta,ARMPW,Peewee,,arm,land,Kbots (bipedal walkers),1,t1_light_bot,Infantry Kbot,250,53.0,697.0,,,EMG,img/ta/armpw.png
ta-armrock,ta,ARMROCK,Rocko,,arm,land,Kbots (bipedal walkers),1,t1_arty,Rocket Kbot,610,117.0,964.0,,,KBOT_ROCKET,img/ta/armrock.png
ta-armsnipe,ta,ARMSNIPE,Shooter,,arm,land,Kbots (bipedal walkers),2,t3_assault,Sniper Kbot,320,935.0,14727.0,,,ARMSNIPE_WEAPON,img/ta/armsnipe.png
ta-armspy,ta,ARMSPY,Infiltrator,,arm,land,Kbots (bipedal walkers),2,other,SPY Kbot,270,128.0,9219.0,,,,img/ta/armspy.png
ta-armvader,ta,ARMVADER,Invader,,arm,land,Kbots (bipedal walkers),2,other,Crawling Bomb,185,61.0,5473.0,,,,img/ta/armvader.png
ta-armwar,ta,ARMWAR,Warrior,,arm,land,Kbots (bipedal walkers),1,t1_light_bot,Medium Infantry Kbot,850,196.0,2236.0,,,ARMWAR_LCANNON | ARMWAR_EMG,img/ta/armwar.png
ta-armzeus,ta,ARMZEUS,Zeus,,arm,land,Kbots (bipedal walkers),2,t2_tank,Assault Kbot,875,267.0,2228.0,,,LIGHTNING,img/ta/armzeus.png
ta-armah,ta,ARMAH,Swatter,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Anti-Air Hovercraft,375,120.0,1444.0,,,ARMAH_WEAPON,img/ta/armah.png
ta-armanac,ta,ARMANAC,Anaconda,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Hovertank,880,272.0,2856.0,,,ARMANAC_WEAPON,img/ta/armanac.png
ta-armbull,ta,ARMBULL,Bulldog,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,t2_tank,Heavy Assault Tank,2102,467.0,2994.0,,,ARM_BULL,img/ta/armbull.png
ta-armcroc,ta,ARMCROC,Triton,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,t2_amphib,Amphibious Tank,1230,298.0,2300.0,,,ARM_MEDIUMCANNON,img/ta/armcroc.png
ta-armfav,ta,ARMFAV,Jeffy,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",1,t1_land_scout,Fast Attack Vehicle,79,37.0,564.0,,,ARM_LASER,img/ta/armfav.png
ta-armflash,ta,ARMFLASH,Flash,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",1,t1_tank,Fast Assault Tank,625,106.0,870.0,,,EMG,img/ta/armflash.png
ta-armlatnk,ta,ARMLATNK,Panther,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Lightning Tank,1100,354.0,3830.0,,,ARMLATNK_WEAPON | ARMKBOT_MISSILE,img/ta/armlatnk.png
ta-armmh,ta,ARMMH,Wombat,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Hovercraft Rocket Launcher,450,325.0,3131.0,,,ARMMH_WEAPON,img/ta/armmh.png
ta-armsam,ta,ARMSAM,Samson,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",1,t1_aa,Mobile Missile Launcher,650,119.0,1027.0,,,ARMTRUCK_MISSILE,img/ta/armsam.png
ta-armscab,ta,ARMSCAB,Scarab,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,antinuke,Mobile Missile Defense,780,1437.0,88000.0,,,ARMSCAB_WEAPON,img/ta/armscab.png
ta-armseer,ta,ARMSEER,Seer,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Mobile Radar,480,85.0,941.0,,,,img/ta/armseer.png
ta-armsh,ta,ARMSH,Skimmer,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",1,other,Scout Hovercraft,200,76.0,1169.0,,,ARMSH_WEAPON,img/ta/armsh.png
ta-armspid,ta,ARMSPID,Spider,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Spider Assault Vehicle,450,230.0,2200.0,,,ARM_PARALYZER,img/ta/armspid.png
ta-armstump,ta,ARMSTUMP,Stumpy,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",1,t1_tank,Medium Assault Tank,992,165.0,1246.0,,,ARM_LIGHTCANNON,img/ta/armstump.png
ta-armthovr,ta,ARMTHOVR,Bear,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,other,Transport Hovercraft,1150,665.0,7938.0,,,,img/ta/armthovr.png
ta-armyork,ta,ARMYORK,Phalanx,,arm,land,"Vehicles (tanks, hovercraft, jeeps)",2,t2_flak,Mobile Flak Vehicle,621,830.0,10500.0,,,ARMYORK_GUN,img/ta/armyork.png
ta-armasp,ta,ARMASP,Air Repair Pad,,arm,structure,Misc / other,2,other,Automatically repairs aircraft,680,425.0,8510.0,,,,img/ta/armasp.png
ta-armbeac,ta,ARMBEAC,Alien Beacon,,arm,structure,Misc / other,1,other,Alien Beacon,11000,5214.0,423100.0,,,,img/ta/armbeac.png
ta-armdev1,ta,ARMDEV1,Implosion Device,,arm,structure,Misc / other,1,other,Implosion Device,4110,8545.0,132500.0,,,,img/ta/armdev1.png
ta-armemp,ta,ARMEMP,Stunner,,arm,structure,Misc / other,2,other,EMP Missile Launcher,2300,1802.0,52134.0,,,ARMEMP_WEAPON,img/ta/armemp.png
ta-armfrt,ta,ARMFRT,Defender - NS,,arm,navy,Misc / other,1,t1_aa_turret,Missile Tower - Naval Series,252,71.0,987.0,,,ARMRL_MISSILE,img/ta/armfrt.png
ta-armgate,ta,ARMGATE,Galactic Gate,,arm,structure,Misc / other,1,other,Space Teleporter,2876,213965.0,1865294.0,,,,img/ta/armgate.png
ta-armmine1,ta,ARMMINE1,Tiny,,arm,structure,Misc / other,1,other,"Low Damage, Med. Range Mine",100,32.0,1017.0,,,,img/ta/armmine1.png
ta-armmine2,ta,ARMMINE2,Area Mine,,arm,structure,Misc / other,1,other,"Low Damage, Large Range Mine",100,61.0,1909.0,,,,img/ta/armmine2.png
ta-armmine3,ta,ARMMINE3,Focused Mine,,arm,structure,Misc / other,1,other,"Med. Damage, Small Range Mine",100,86.0,2688.0,,,,img/ta/armmine3.png
ta-armmine4,ta,ARMMINE4,HE Area Mine,,arm,structure,Misc / other,1,other,"Med. Damage, Large Range Mine",100,137.0,4294.0,,,,img/ta/armmine4.png
ta-armmine5,ta,ARMMINE5,Precision Mine,,arm,structure,Misc / other,1,other,"High Damage, Small Range Mine",2000,132.0,4135.0,,,,img/ta/armmine5.png
ta-armmine6,ta,ARMMINE6,Nuclear Mine,,arm,structure,Misc / other,1,other,Nuclear Mine,100,498.0,22272.0,,,,img/ta/armmine6.png
ta-armscorp,ta,ARMSCORP,Scorpion,,arm,structure,Misc / other,1,other,Indigenous Lifeform,1000,0.0,15660.0,,,ARMSCORP_WEAPON,
ta-armtarg,ta,ARMTARG,Targeting Facility,,arm,structure,Misc / other,2,other,Automatic Radar Targeting,1900,15130.0,136058.0,,,,img/ta/armtarg.png
ta-corcom,ta,CORCOM,Commander,,core,commander,Commander,0,commander,Commander,3000,23512.0,35838.0,,,CORCOMLASER | CORE_DISINTEGRATOR,img/ta/corcom.png
ta-cordecom,ta,CORDECOM,Decoy Commander,,core,commander,Commander,0,commander,Decoy Commander,1580,705.0,12085.0,,,CORCOMLASER,img/ta/cordecom.png
ta-coraca,ta,CORACA,Adv. Construction Aircraft,,core,land,Construction units,2,t2_engineer,Tech Level 2,370,231.0,12824.0,,,,img/ta/coraca.png
ta-corack,ta,CORACK,Adv. Construction Kbot,,core,land,Construction units,2,t2_engineer,Tech Level 2,1070,325.0,6096.0,,,,img/ta/corack.png
ta-coracsub,ta,CORACSUB,Advanced Construction Sub,,core,navy,Construction units,2,t2_engineer,Tech Level 2,370,690.0,7911.0,,,,img/ta/coracsub.png
ta-coracv,ta,CORACV,Adv. Construction Vehicle,,core,land,Construction units,2,t2_engineer,Tech Level 2,1220,455.0,4504.0,,,,img/ta/coracv.png
ta-corca,ta,CORCA,Construction Aircraft,,core,land,Construction units,1,t1_engineer,Tech Level 1,290,110.0,4580.0,,,,img/ta/corca.png
ta-corch,ta,CORCH,Construction Hovercraft,,core,land,Construction units,1,t1_engineer,Tech Level 1,740,390.0,4455.0,,,,img/ta/corch.png
ta-corck,ta,CORCK,Construction Kbot,,core,land,Construction units,1,t1_engineer,Tech Level 1,710,130.0,2540.0,,,,img/ta/corck.png
ta-corcs,ta,CORCS,Construction Ship,,core,land,Construction units,1,t1_engineer,Tech Level 1,1150,260.0,2375.0,,,,img/ta/corcs.png
